Flake.ID,Sec.Trans,Termin,Episode,L.mm,W.mm,T.mm,Max.Thick.mm,Or.Weight.g,Rem.Weight.g,W.Retrieved.g,GIUR.1.1,GIUR.1.2,GIUR.2.1,GIUR.2.2,GIUR.3.1,GIUR.3.2,Mean.Edge.Angle.Selected.ret
ML_IR_166,Circular,Step,0,57.5,41.6,7.6,13.3,26.68,26.68,0,0,9.7,0,8.2,0,10.1,40
ML_IR_167,Triangular Asymmetric,Feather,0,46.6,38,18.9,19.4,19.68,19.68,0,0,13.6,0,17.4,0,11.7,30.67
ML_IR_168,Trapezoidal Asymmetric,Feather,0,34.5,44.7,9.6,9.6,11.26,11.26,0,0,9.5,0,8.7,0,4.5,33.67
ML_IR_169,Triangular,Feather,0,46,44.6,7.7,10.2,16.85,16.85,0,0,8.8,0,7.5,0,5.6,32.33
ML_IR_170,Triangular,Feather,0,62.7,68.7,19.2,19.6,71.73,71.73,0,0,19.7,0,17.1,0,13.4,36.33
ML_IR_171,Triangular,Feather,0,61.6,64.7,10,12.1,33.44,33.44,0,0,12,0,9.1,0,6.1,50.33
ML_IR_172,Circular,Feather,0,59.5,46.5,13.6,17.2,43.55,43.55,0,0,16.9,0,12.4,0,10.9,40
ML_IR_173,Triangular,Feather,0,50.9,58.7,10,12.2,28.82,28.82,0,0,12.2,0,9.1,0,11.3,41.33
ML_IR_174,Circular,Hinge,0,64.3,69.1,26.3,26.3,100.32,100.32,0,0,24.7,0,22.7,0,15,60.33
ML_IR_175,Triangular,Feather,0,47.2,55.2,11.4,21.1,33.31,33.31,0,0,19,0,10.5,0,7.3,37.33
ML_IR_176,Triangular,Feather,0,77.5,53.2,7.9,13.4,31.85,31.85,0,0,10.2,0,9.1,0,11,57.33
ML_IR_177,Triangular,Hinge,0,51.1,52.5,16.2,17.2,43.1,43.1,0,0,17.3,0,16.7,0,13.2,37
ML_IR_178,Triangular,Feather,0,58.8,40.7,9.1,10.5,14.73,14.73,0,0,7.3,0,8.6,0,7.2,40.67
ML_IR_179,Triangular,Hinge,0,53.5,34.4,9.3,11,20.78,20.78,0,0,11,0,9.7,0,10,35.67
ML_IR_180,Triangular,Feather,0,65.6,45.5,11.6,12.6,28,28,0,0,10.7,0,12,0,12.6,48
ML_IR_121,Triangular,Feather,0,36.5,38.6,14.6,14.8,17.67,17.67,0,0,11.5,0,14.2,0,12.4,34.67
ML_IR_122,Triangular,Feather,0,53,17.4,5,6.2,5.06,5.06,0,0,6.1,0,5,0,3.9,32.33
ML_IR_123,Triangular,Feather,0,28.5,20.6,4.9,6.6,2.64,2.64,0,0,6.5,0,4.6,0,3.3,25
ML_IR_124,Triangular,Feather,0,42.6,43,10,13.8,18.39,18.39,0,0,10.5,0,10.1,0,11.5,35
ML_IR_125,Circular,Feather,0,63.2,79.5,17.8,18.4,89.37,89.37,0,0,17.8,0,16.6,0,13,35
ML_IR_126,Triangular,Feather,0,100.9,85.5,34.7,34.8,166.83,166.83,0,0,31,0,34.6,0,25.8,61.67
ML_IR_127,Triangular Asymmetric,Feather,0,81.2,71.8,19.2,26,142.74,142.74,0,0,24.8,0,20.6,0,14.6,37
ML_IR_128,Triangular Asymmetric,Feather,0,72.8,83.3,24.5,27,119.6,119.6,0,0,22.7,0,25.2,0,21.4,67.67
ML_IR_129,Triangular,Feather,0,94.1,83.1,34,36,200.86,200.86,0,0,28.8,0,32.6,0,23.6,56.33
ML_IR_130,Triangular Asymmetric,Feather,0,70.5,70.6,21.8,25,101.18,101.18,0,0,23.7,0,22.2,0,22.1,49.33
ML_IR_131,Triangular Asymmetric,Feather,0,70.8,57.8,24,29.7,70.11,70.11,0,0,27.6,0,23.7,0,17.8,37.67
