Artifact.ID,Frag+AF8-Cat,Complete,Length,Max.Length,Width,Prox.Width,Dist.Width,Prox.Thick,Mid.Thick,Dist.Thick,Plane.Height,Platform.Morph,Platform.x,Platform.y,Platform.z,Platform.Profile,Platform.Preparation,Cortex,Cortex+AF8-Loc,No.Scars,Long.Ridges,Trans.Section,Termination.type,Flake.Type,Weight,EPA,IPA,Angle.1.1,Angle.1.2,Angle.1.3,Angle.2.1,Angle.2.2,Angle.2.3,Angle.3.1,Angle.3.2,Angle.3.3,Mean.Left.Edge,Mean.Right.Edge,Mean.Edge.Angle.Selected.ret,Max.Thick.mm
ML+AF8-IR+AF8-04,c,y,38.3,38.3,39.3,37.7,25.7,11,10.4,7.9,14.9,Trapezoid,15.1,20.3,8.2,BF,D,5,5,3,0,Triangular,Feather,Flake,14.4,65,109,61,51,66,NA,30,NA,42,38,28,59.33,36,36,11
ML+AF8-IR+AF8-05,c,y,53.9,53.9,41.1,31,38.1,14.2,12.7,7.8,12.8,Triangular,7.9,5.7,NA,CC,l,5,5,2,1,Triangular,Feather,Flake,21.11,80,97,56,37,45,NA,31,NA,22,22,20,46,21.33,21.33,14.4
ML+AF8-IR+AF8-06,c,y,50.2,50.2,31,24.5,17.8,10,10.9,9.1,14.1,Triangular,9.9,6.5,NA,CX,l,5,5,2,0,Triangular Asymmetric,Feather,Backed Flake,17.08,66,115,NA,NA,NA,NA,45,NA,60,47,39,+ACM-DIV/0+ACE-,48.67,48.67,11.1
ML+AF8-IR+AF8-07,c,y,49,49,31,30,25.9,10.2,8,7,8.7,Trapezoid,23.6,31.6,8,CX,l,5,5,3,0,Trapezoidal,Feather,Flake,15.75,72,115,62,45,32,NA,25,NA,66,68,38,46.33,57.33,46.33,10.3
ML+AF8-IR+AF8-08,c,y,50.1,50.1,33.8,31.3,32.1,18.5,15.9,12.4,16,Triangular,27.1,18.2,NA,CC,l,5,5,2,1,Triangular,Hinge,Flake,25.49,60,115,35,39,30,NA,79,NA,80,68,41,34.67,63,34.67,19.3
ML+AF8-IR+AF8-09,c,y,49.7,49.7,35.8,29.9,24.5,6.4,4.5,2.2,6.8,Rhombus,22.7,7.6,NA,CG,MF,3,2,2,0,Circular,Feather,Flake,8.78,65,105,32,20,14,NA,10,NA,43,20,22,22,28.33,22,6.8
ML+AF8-IR+AF8-10,c,y,34.4,34.4,26,25.6,21.9,10.4,10.3,7.1,10.4,Rectangle,23.1,11.8,NA,CX,l,5,5,2,0,Trapezoidal Asymmetric,Feather,Backed Flake,10.15,60,107,64,56,40,NA,25,NA,NA,NA,NA,53.33,+ACM-DIV/0+ACE-,53.33,13.1
ML+AF8-IR+AF8-11,c,y,53.3,53.3,27.4,25.6,21.6,6.5,5.5,4.9,9.5,Ellipse,4.7,2.5,NA,RT,l,3,3,3,0,Triangular,Feather,Flake,10.8,67,111,45,44,28,NA,19,NA,39,31,41,39,37,37,6
ML+AF8-IR+AF8-12,c,y,42.2,42.2,36.2,25,36.2,12.3,9.3,5.8,9,Trapezoid,11,23.6,13.3,RT,l,3,3,2,1,Triangular,Feather,Flake,13.47,62,120,65,49,25,NA,30,NA,35,33,20,46.33,29.33,29.33,12.4
ML+AF8-IR+AF8-13,c,y,60.3,60.3,41.5,33.2,23.5,15.7,12.9,6.1,13.4,Trapezoid,7.1,15,7,CX,l,3,2,1,0,Trapezoidal Asymmetric,Hinge,Backed Flake,28.82,64,115,46,40,26,NA,80,NA,NA,NA,NA,37.33,+ACM-DIV/0+ACE-,37.33,15.7
ML+AF8-IR+AF8-14,c,y,36.2,39.6,38.1,24.2,23.4,6.2,4.9,2.8,7,Rhombus,15.2,5.7,NA,CX,MF,5,5,3,0,Trapezoidal,Feather,Flake,5.8,80,94,49,20,15,NA,13,NA,44,40,36,28,40,28,7
ML+AF8-IR+AF8-15,c,y,24.5,24.5,37.2,36.2,34,8.9,6.8,5.8,6.8,Ellipse,31.3,10.9,NA,CX,l,5,5,0,0,Circular,Hinge,Flake,6.82,45,21,NA,NA,NA,30,30,30,NA,NA,NA,+ACM-DIV/0+ACE-,+ACM-DIV/0+ACE-,30,7.8
ML+AF8-IR+AF8-181,C,Y,82.1,82.1,40.6,30,38.8,12.8,12.9,7,14.22,Trapezoid,11.6,17.7,9.5,CC,C,4,3,4,0,Trapezoidal Asymmetric,Feather,Backed Flake,42.78,75,113,NA,NA,NA,NA,34,NA,58,40,49,+ACM-DIV/0+ACE-,49,49,12.7
ML+AF8-IR+AF8-182,C,Y,82.7,82.7,47.3,40.1,32.1,12.4,9.7,4.8,15,Triangular,14.5,6.2,NA,CX,L,3,2,5,0,Trapezoidal,Feather,Flake,44.82,64,114,61,60,52,NA,16,NA,44,39,30,57.67,37.67,37.67,12.6
ML+AF8-IR+AF8-183,C,Y,66.2,66.2,58.8,40.4,34.4,12.8,10.7,7.4,15,Triangular,25.9,8.9,NA,CC,L,1,1,0,0,Circular,Feather,Flake,43.71,57,120,45,67,77,NA,40,NA,88,44,39,63,57,57,13.3
ML+AF8-IR+AF8-184,C,Y,75.5,75.5,73,43.8,63.8,15.7,10.4,7.6,12.9,Trapezoid,17.6,39.1,10.3,RT,L,2,2,1,0,Circular,Feather,Flake,60.45,63,119,20,18,34,NA,37,NA,45,30,40,24,38.33,24,15.2
ML+AF8-IR+AF8-185,C,Y,55.6,55.6,51.9,43.8,45.9,20.7,19.9,6.8,19.9,Triangular,31.1,14.9,NA,CX,L,5,5,3,0,Triangular Asymmetric,Feather,Backed Flake,46.07,61,123,49,32,35,NA,40,NA,NA,NA,NA,38.67,+ACM-DIV/0+ACE-,38.67,22.7
ML+AF8-IR+AF8-186,C,Y,56.7,56.7,52.8,44.5,40.3,12.5,12.6,4.8,15.8,Trapezoid,10.3,21.1,8.4,CC,L,3,3,4,0,Triangular,Feather,Flake,30.2,61,134,54,46,35,NA,37,NA,45,35,33,45,37.67,37.67,13
ML+AF8-IR+AF8-187,C,Y,93.9,93.9,39,26.3,25.4,9.8,7.9,7.5,13,Trapezoid,11.4,24.2,8.8,RT,L,2,2,3,0,Triangular,Feather,Flake,32,70,120,59,48,42,NA,25,NA,50,57,40,49.67,49,49,9.5
ML+AF8-IR+AF8-188,C,Y,45.7,45.7,40.7,32.7,38.7,9,6.3,3.4,6.9,Rhombus,27.3,8.5,NA,CX,MF,2,2,1,0,Circular,Feather,Flake,11.66,61,115,24,15,15,NA,14,NA,46,25,17,18,29.33,18,10.8
ML+AF8-IR+AF8-189,C,Y,46.4,46.4,40,23,37.7,9,12.4,7.8,13.2,Triangular,15.1,7.4,NA,RT,L,5,5,3,0,Triangular Asymmetric,Feather,Backed Flake,13.96,66,119,44,25,34,NA,50,NA,NA,NA,NA,34.33,+ACM-DIV/0+ACE-,34.33,12.4
ML+AF8-IR+AF8-190,C,Y,60.9,60.9,33.4,27,26.2,5.8,6.3,4.7,9.3,Ellipse,14.6,5.5,NA,CC,L,4,3,3,0,Trapezoidal,Feather,Flake,13.4,64,114,35,25,27,NA,22,NA,45,40,42,29,42.33,29,6.4
ML+AF8-IR+AF8-191,C,Y,53.4,53.4,42.6,35.5,42.4,6.1,4.2,4,6.3,Trapezoid,14,26.1,3.6,RT,L,4,3,2,0,Trapezoidal,Feather,Flake,12.11,65,105,37,30,32,NA,31,NA,51,38,30,33,39.67,33,6.7
ML+AF8-IR+AF8-192,C,Y,32.6,54.5,54.5,43.7,45.4,10.7,10.1,3.7,10.5,Trapezoid,24.1,37.2,9.2,CX,MF,5,5,0,0,Circular,Feather,Flake,14.36,52,121,NA,NA,NA,20,29,10,NA,NA,NA,+ACM-DIV/0+ACE-,+ACM-DIV/0+ACE-,24.5,11.4
ML+AF8-IR+AF8-193,C,Y,30.2,39.3,39.3,37.3,39,9.5,8.7,4.1,8.8,Triangular,35.1,9.3,NA,CX,MF,1,1,0,0,Circular,Feather,Flake,11.36,70,105,NA,NA,NA,14,13,14,NA,NA,NA,+ACM-DIV/0+ACE-,+ACM-DIV/0+ACE-,13.5,9.5
ML+AF8-IR+AF8-194,C,Y,50.1,50.1,41.8,40.9,32,8.2,7.6,4.5,8.3,Ellipse,17.6,6,NA,CX,MF,3,3,2,0,Triangular,Feather,Flake,12,83,97,39,20,29,NA,15,NA,59,29,24,29.33,37.33,29.33,8.9
ML+AF8-IR+AF8-195,C,Y,45.5,45.5,43,25.7,37.5,10,8.1,4.5,10.5,Triangular,21.5,10,NA,CX,L,4,3,2,0,Triangular,Feather,Flake,12.23,66,111,39,30,25,NA,53,NA,50,44,35,31.33,43,31.33,10.5
ML+AF8-IR+AF8-151,C,Y,65.3,65.3,53.5,42.3,40.8,12.6,10.6,6,15,Trapezoid,11.4,19,8,CX,L,4,5,5,0,Trapezoidal,Feather,Flake,35.72,72,110,59,42,45,NA,25,NA,39,25,55,48.67,39.67,39.67,12.4
ML+AF8-IR+AF8-152,C,Y,58.1,58.1,45.1,33.5,28.6,10.5,11,5.9,12.2,Triangular,12,6.8,NA,RT,C,5,5,4,0,Trapezoidal Asymmetric,Feather,Backed Flake,24.65,61,111,65,36,30,NA,27,NA,NA,NA,NA,43.67,+ACM-DIV/0+ACE-,43.67,11.3
ML+AF8-IR+AF8-153,C,Y,55.5,55.5,44.6,29.8,33.9,10.4,8.5,2.9,8.7,Rhombus,19.8,9.1,NA,BF,D,5,5,3,0,Circular,Feather,Flake,17.46,79,105,37,24,38,NA,14,NA,50,27,44,33,40.33,33,11.7
ML+AF8-IR+AF8-154,C,Y,57.4,57.4,33.9,27.8,32.1,6.1,6,4.2,7.2,Ellipse,13.2,5.1,NA,RT,MF,5,5,4,0,Triangular,Feather,Flake,10.72,78,98,27,23,25,NA,24,NA,32,30,29,25,30.33,25,7.2
ML+AF8-IR+AF8-155,C,Y,78,78,51.7,32,37.6,18.2,28.9,17.7,31.3,Triangular,17,8.5,NA,CX,C,2,2,1,0,Trapezoidal Asymmetric,Feather,Backed Flake,94.41,74,110,85,75,52,NA,41,NA,NA,NA,NA,70.67,+ACM-DIV/0+ACE-,70.67,29
ML+AF8-IR+AF8-156,C,Y,49.3,49.3,42.3,41,21.9,14.3,8.6,6.8,10.8,Ellipse,25.9,17.1,NA,CX,C,2,2,1,0,Triangular,Feather,Flake,20.34,46,130,35,33,34,NA,42,NA,43,33,38,34,38,34,18.2
ML+AF8-IR+AF8-157,C,Y,46.2,46.2,43.6,44.1,33.7,18.6,17.1,9,17.1,Rhombus,22.4,9.2,NA,CC,C,2,2,2,0,Triangular,Feather,Flake,29.11,59,124,45,35,41,NA,76,NA,55,83,66,40.33,68,40.33,20.1
ML+AF8-IR+AF8-158,C,Y,54.4,54.4,62.1,47,19,17,11.8,6.7,11.8,Triangular,36.8,18.5,NA,BF,D,5,5,2,1,Triangular,Feather,Flake,22.71,70,118,68,25,37,NA,32,NA,47,54,44,43.33,48.33,43.33,19.2
ML+AF8-IR+AF8-159,C,Y,62.8,62.8,37.1,30.5,27.5,13.1,11.3,8.7,12.2,Triangular,31.4,13.1,NA,CX,L,4,3,3,0,Trapezoidal,Feather,Flake,27.16,55,125,69,55,71,NA,46,NA,75,49,59,65,61,61,14.2
ML+AF8-IR+AF8-160,C,Y,42.5,42.5,41.5,29.1,27.5,12.8,9.1,5.6,10,Ellipse,4.2,2,NA,RT,L,5,5,3,0,Triangular,Feather,Flake,12.77,46,135,79,72,57,NA,22,NA,22,22,21,69.33,21.67,21.67,14.2
ML+AF8-IR+AF8-161,C,Y,48.6,56.2,43,31.7,28.9,12.3,8.6,10.1,10.7,Triangular,15.6,4.4,NA,CX,L,3,2,2,0,Triangular,Feather,Flake,17.52,55,127,47,40,53,NA,36,NA,23,27,52,46.67,34,34,13.7
ML+AF8-IR+AF8-162,C,Y,60.5,60.5,31.4,24.8,28.3,8.6,12.2,9.5,13.9,Trapezoid,16.5,10.1,8,BF,D,5,5,2,0,Triangular Asymmetric,Feather,Backed Flake,24.47,75,118,NA,NA,NA,NA,54,NA,40,43,55,+ACM-DIV/0+ACE-,46,46,13.7
ML+AF8-IR+AF8-163,C,Y,83,83,42,25.4,22.1,15,19.9,14.5,20.3,Trapezoid,12.6,23,11.6,CX,L,2,2,1,0,Triangular,Feather,Flake,48.38,60,120,75,67,58,NA,40,NA,70,66,64,66.67,66.67,66.67,21.2
ML+AF8-IR+AF8-164,C,Y,78.3,78.3,45.9,36.1,40.1,12.5,15.7,16.7,18.5,Trapezoid,9.1,20.1,7.8,RT,L,2,2,1,1,Triangular,Plunging,Flake,55.27,67,110,40,42,43,NA,93,NA,39,32,54,41.67,41.67,41.67,17.3
ML+AF8-IR+AF8-165,C,Y,91.5,91.5,46.3,35.5,32,25.8,25.7,21.1,25.7,Triangular,27.8,22.6,NA,CX,L,1,1,0,0,Triangular Asymmetric,Feather,Backed Flake,94.6,66,115,NA,NA,NA,NA,75,NA,54,45,47,+ACM-DIV/0+ACE-,48.67,48.67,28.9
ML+AF8-IR+AF8-166,C,Y,57.5,57.5,41.6,28.8,31.5,9.9,7.6,9.9,9.9,Triangular,22.3,8.2,NA,CX,C,3,2,2,0,Circular,Step,Flake,26.7,71,105,46,34,40,NA,104,NA,55,55,50,40,53.33,40,13.3
ML+AF8-IR+AF8-167,C,Y,46.6,46.6,38,25.3,28.4,13.6,18.9,7.6,19.6,Trapezoid,11.8,5.5,8.3,CC,L,5,5,2,0,Triangular Asymmetric,Feather,Backed Flake,19.7,67,120,NA,NA,NA,NA,35,NA,31,34,27,+ACM-DIV/0+ACE-,30.67,30.67,19.4
ML+AF8-IR+AF8-168,C,Y,34.5,40.9,44.7,30.4,41.3,9.6,9.6,5.3,9.8,Trapezoid,17,21.5,6.2,RT,L,5,5,3,0,Trapezoidal Asymmetric,Feather,Backed Flake,11.28,69,110,NA,NA,NA,30,25,37,35,29,37,+ACM-DIV/0+ACE-,33.67,33.67,9.6
ML+AF8-IR+AF8-169,C,Y,46,46,44.6,39.4,29.3,10,7.7,5.8,9.8,Triangular,29.1,8,NA,CX,L,5,5,4,0,Triangular,Feather,Flake,16.89,71,120,67,50,48,NA,40,NA,34,34,29,55,32.33,32.33,10.2
ML+AF8-IR+AF8-170,C,Y,62.7,62.7,68.7,65.9,45.1,17.5,19.2,10.6,19.6,Trapezoid,10.9,21.3,9.2,CC,L,3,2,3,0,Triangular,Feather,Flake,71.75,66,115,59,41,38,NA,40,NA,36,35,38,46,36.33,36.33,19.6
ML+AF8-IR+AF8-171,C,Y,61.6,67.3,64.7,40,32.5,12.5,10,6,10.5,Trapezoid,18.6,28.3,8.7,CC,L,2,2,1,0,Triangular,Feather,Flake,33.44,59,124,62,54,35,NA,50,NA,65,69,60,50.33,64.67,50.33,12.1
ML+AF8-IR+AF8-172,C,Y,59.5,59.5,46.5,44.9,31.2,15,13.6,11,15.1,Trapezoid,30,40.7,7.4,CX,C,3,2,2,0,Circular,Feather,Flake,43.58,52,130,65,58,49,NA,45,NA,47,34,39,57.33,40,40,17.2
ML+AF8-IR+AF8-173,C,Y,50.9,50.9,58.7,46.3,31.5,12,10,9.5,12.7,Ellipse,29.5,8.6,NA,CX,C,4,3,3,0,Triangular,Feather,Flake,28.88,64,112,42,68,55,NA,42,NA,40,41,43,55,41.33,41.33,12.2
ML+AF8-IR+AF8-174,C,Y,64.3,64.3,69.1,45,55.8,21,26.3,11.8,26.3,Trapezoid,14.5,31.7,9.2,CX,L,1,1,0,0,Circular,Hinge,Flake,100.32,65,106,NA,NA,NA,43,110,71,58,73,50,+ACM-DIV/0+ACE-,60.33,60.33,26.3
ML+AF8-IR+AF8-175,C,Y,47.2,47.2,55.2,44.6,35,18,11.4,4.3,11.5,Triangular,30.8,19,NA,RT,C,2,2,1,0,Triangular,Feather,Flake,33.33,51,105,74,57,57,NA,35,NA,41,35,36,62.67,37.33,37.33,21.1
ML+AF8-IR+AF8-176,C,Y,77.5,77.5,53.2,27.1,42,10.7,7.9,10.7,12.9,Rhombus,21.3,11.8,NA,RT,L,4,3,3,0,Triangular,Feather,Flake,31.87,65,117,56,40,83,NA,42,NA,48,65,59,59.67,57.33,57.33,13.4
